ID,allocation design,#snippets per participant,snippet pool size,snippet source,# of sources,snippet criteria,# of criteria
S1,within-subject,24,24,self-made,1,"requires bottom-up comprehension, thematic heterogeneity, no extensive usage of (rare) APIs, no unnecessary cognitive load",4
S10,within-subject,6,6,"text books, contests",2,"balance between simplicity and complexity, written in a popular/familiar programming language, no unnecessary cognitive load",3
S11,within-subject,10,10,"text books, open-source",2,"written in a popular/familiar programming language, novice friendliness",2
S12,within-subject,8,8,self-made,1,"balance between simplicity and complexity, small enough to avoid extensive scrolling",2
S13,within-subject,n/a,n/a,n/a,n/a,n/a,0
S14,within-subject,27,31,"previous studies, self-made",2,"taken/adapted from existing studies, novice friendliness",2
S15,within-subject,36,36,"previous studies, self-made",2,"taken/adapted from existing studies, novice friendliness, no unnecessary cognitive load, self-contained functionality, requires bottom-up comprehension",5
S16,within-subject,6,6,self-made,1,heterogeneity concerning the targeted constructs,1
S17,within-subject,4,5,previous studies,1,"taken/adapted from existing studies, balance between simplicity and complexity, no unnecessary cognitive load",3
S18,within-subject,3,3,self-made,1,"heterogeneity concerning the targeted constructs, homogeneity concerning potential confounders, balance between simplicity and complexity, no unnecessary cognitive load",4
S19,within-subject,3,3,self-made,1,n/a,0
S2,within-subject,80,122,contests,1,"requires bottom-up comprehension, no unnecessary cognitive load, balance between simplicity and complexity",3
S20,within-subject,3,3,open-source,1,"self-contained functionality, no special domain knowledge necessary for understanding, requires bottom-up comprehension, homogeneity concerning potential confounders, heterogeneity concerning the targeted constructs",5
S21,within-subject,10,132,"open-source, previous studies",2,"random sampling, real-world code, taken/adapted from existing studies",3
S22,within-subject,24,24,open-source,1,real-world code,1
S23,within-subject,12,12,previous studies,1,taken/adapted from existing studies,1
S24,within-subject,12,36,"open-source, text books",2,"real-world code, novice friendliness, requires bottom-up comprehension",3
S25,within-subject,16,16,previous studies,1,"taken/adapted from existing studies, novice friendliness, balance between simplicity and complexity, thematic heterogeneity, homogeneity concerning potential confounders, requires bottom-up comprehension",6
S26,between-subject,2,5,n/a,n/a,"real-world code, no special domain knowledge necessary for understanding, self-contained functionality",3
S27,within-subject,9,27,"self-made, open-source",2,"balance between simplicity and complexity, real-world code, written in a popular/familiar programming language",3
S28,within-subject,4,16,self-made,1,"balance between simplicity and complexity, self-contained functionality, homogeneity concerning potential confounders, never seen before by participants",4
S29,within-subject,3,3,self-made,1,"novice friendliness, self-contained functionality",2
S3,within-subject,6,18,self-made,1,"balance between simplicity and complexity, self-contained functionality, no extensive usage of (rare) APIs, no unnecessary cognitive load",4
S30,between-subject,5,30,n/a,n/a,"novice friendliness, balance between simplicity and complexity",2
S31,between-subject,1,4,text books,1,novice friendliness,1
