label ID,label,category,threat classification (Jedlitschka),paper ID
L1,judgment on relevance of Brodmann areas influenced comprehension model,Subjectivity in evaluating data,internal,S1
L2,uncontrolled confusing code aspects,Content of study object,internal,S2
L3,subjective selection of potentially confusing atoms,Content of study object,internal,S2
L4,defect identification as comprehension task may carry some overhead,Construct operationalization,internal,S3
L5,limitations of letterbox method,Instrumentation,internal,S3
L6,unknown confounding factors,Causal model,internal,S4
L7,same snippet order and last snippet affected by fatigue,Fatigue,internal,S4
L8,programming experience as confounder,Programming experience,internal,S4
L9,not controlled for cheating,Process conformance,internal,S4
L10,participants interrupted by external events,Technical issues,internal,S5
L11,bias in training data for ML models,ML data and model,internal,S5
L12,performance affected by think-aloud method,Task procedure,internal,S5
L13,unknown extraneous variables in long comprehension sessions,Causal model,internal,S5
L14,inter-annotator agreement worse due to missing readability definition,Subjectivity in evaluating data,internal,S6
L15,influence of practice on inter-annotator agreement,Subjectivity in evaluating data,internal,S6
L16,influence of fatigue on inter-annotator agreement,Subjectivity in evaluating data,internal,S6
L17,acquaintance with process in second period,Learning effects,internal,S7
L18,fatigue effect,Fatigue,internal,S7
L19,measured time in second period affected by activities in first one,Learning effects,internal,S7
L20,influence of specific IDE on programming paradigms,Code editor,internal,S8
L21,different length of code snippets,Size of study object,internal,S9
L22,different snippet outputs,Content of study object,internal,S9
L23,uncontrolled inherent complexity in specific snippets,Difficulty,internal,S9
L24,influence of choosing input for comprehension task,Instrumentation,internal,S9
L25,familiarity with specific coding guideline,Familiarity with tools,internal,S9
L26,learning effect,Learning effects,internal,S9
L27,not using snippets that correspond to well-known plans,Content of study object,internal,S9
L28,uncontrolled experiment conditions for participants,Causal model,internal,S9
L29,interpersonal differences between subjects,Background (generic),internal,S9
L30,unnoticed learning effects,Learning effects,internal,S12
L31,unfamiliar work environment,Familiarity with tools,internal,S12
L32,evaluation apprehension,Evaluation apprehension,internal,S12
L33,homogeneous sample of developers,Sampling strategy,internal,S12
L34,noise reduction method reduced NIRS sampling frequency,Data quality,internal,S13
L35,built on inadequate research,Causal model,internal,S15
L36,low number of participants,Sampling strategy,internal,S17
L37,presence of a time limit for reading the code,Time limit,internal,S20
L38,no access to production code when reading the test code,Task procedure,internal,S20
L39,majority of developers less than five years of experience,Programming experience,internal,S22
L40,longer break between questions could increase neuron oscillation accuracy,Data quality,internal,S23
L41,could not calculate peak alpha frequency due to missing subject age,Data consistency,internal,S23
L42,loss of participants during treatment,Mortality and Study-object coverage,internal,S24
L43,exposure to early questions influences later responses,Learning effects,internal,S24
L44,influence of outside noise on the concentration of participants,Concentration impairment,internal,S25
L45,influence of eye tracker presence,Instrumentation,internal,S25
L46,participant's ability to adequately order snippets by difficulty,Ability,internal,S25
L47,alternatives for measuring visual effort might have been more informative,Construct operationalization,internal,S25
L48,high subjective factor of eye-tracking data,Subjectivity in evaluating data,internal,S25
L49,small number of participants hinders obtaining differences in visual effort,Sampling strategy,internal,S25
L50,eye tracking data might be too inaccurate due to materials and study settings,Data quality,internal,S25
L51,variability among experimental subjects,Background (generic),internal,S26
L52,potential influence of stress,Stress,internal,S26
L53,potential influence of fatigue,Fatigue,internal,S27
L54,too many first year students,Education,internal,S26
L55,students' opinion influenced by academic setting,Education,internal,S26
L56,only two functions used which might not have been best for revealing investigated issue,Number of study objects,internal,S26
L57,treatments may not have been extreme enough,Instrumentation,internal,S26
L58,disturbed participants have longer answering times,Concentration impairment,internal,S27
L59,same participants participated multiple times,Process conformance,internal,S27
L60,differences in participant's knowledge,Programming experience,internal,S27
L61,learning effects on later tasks,Learning effects,internal,S27
L62,unfamiliarity with application domain or problem,Domain knowledge,internal,S28
L63,no full control over programmers due to web-based conduct,Causal model,internal,S28
L64,statistical associations do not imply causation,Causal model,internal,S29
L65,learning effects due to pattern in problems,Learning effects,internal,S29
L66,observer or Hawthorne effect,Hawthorne effect,internal,S29
L67,social desirability threat to please the experimenter,Evaluation apprehension,internal,S29
